class_index,class,height,width,scale by
261,Poo,40,40,1
262,Pu,40,40,1
263,Ra,40,40,1
264,Raa,40,40,1
265,Rai,40,40,1
266,Ram,40,40,1
267,Rau,40,40,1
268,Re,40,40,1
269,Ree,40,40,1
270,Ri,40,40,1
271,Ro,40,40,1
272,Roo,40,40,1
273,Ru,40,40,1
274,SSh,40,40,1
275,SSha,40,40,1
276,SShai,40,40,1
277,SSham,40,40,1
278,SShau,40,40,1
279,SShe,40,40,1
280,SShee,40,40,1
281,SShi,40,40,1
282,SSho,40,40,1
283,SShoo,40,40,1
284,SShu,40,40,1
285,Sa,40,40,1
286,Saa,40,40,1
287,Sai,40,40,1
288,Sam,40,40,1
289,Sau,40,40,1
290,Se,40,40,1
291,See,40,40,1
292,Sha,40,40,1
293,Shaa,40,40,1
294,Shai,40,40,1
295,Sham,40,40,1
296,Shau,40,40,1
297,She,40,40,1
298,Shee,40,40,1
299,Shi,40,40,1
300,Sho,40,40,1
301,Shoo,40,40,1
302,Shu,40,40,1
303,Si,40,40,1
304,So,40,40,1
305,Soo,40,40,1
306,Su,40,40,1
307,TTa,40,40,1
308,TTaa,40,40,1
309,TTai,40,40,1
310,TTam,40,40,1
311,TTau,40,40,1
312,TTe,40,40,1
313,TTee,40,40,1
314,TTha,40,40,1
315,TThaa,40,40,1
316,TThai,40,40,1
317,TTham,40,40,1
318,TThau,40,40,1
319,TThe,40,40,1
320,TThee,40,40,1
321,TThi,40,40,1
322,TTho,40,40,1
323,TThoo,40,40,1
324,TThu,40,40,1
325,TTi,40,40,1
326,TTo,40,40,1
327,TToo,40,40,1
328,TTu,40,40,1
329,Ta,40,40,1
330,Taa,40,40,1
331,Tai,40,40,1
332,Tam,40,40,1
333,Tau,40,40,1
334,Te,40,40,1
335,Tee,40,40,1
336,Tha,40,40,1
337,Thaa,40,40,1
338,Thai,40,40,1
339,Tham,40,40,1
340,Thau,40,40,1
341,The,40,40,1
342,Thee,40,40,1
343,Thi,40,40,1
344,Tho,40,40,1
345,Thoo,40,40,1
346,Thu,40,40,1
347,Ti,40,40,1
348,To,40,40,1
349,Too,40,40,1
350,Tu,40,40,1
351,U,40,40,1
352,Va,40,40,1
353,Vaa,40,40,1
354,Vai,40,40,1
355,Vam,40,40,1
356,Vau,40,40,1
357,Ve,40,40,1
358,Vee,40,40,1
359,Vi,40,40,1
360,Vo,40,40,1
361,Voo,40,40,1
362,Vu,40,40,1
363,Ya,40,40,1
364,Yaa,40,40,1
365,Yai,40,40,1
366,Yam,40,40,1
367,Yau,40,40,1
368,Ye,40,40,1
369,Yee,40,40,1
370,Yi,40,40,1
371,Yo,40,40,1
372,Yoo,40,40,1
373,Yu,40,40,1
374,Za,40,40,1
375,Zaa,40,40,1
376,Zai,40,40,1
377,Zam,40,40,1
378,Zau,40,40,1
379,Ze,40,40,1
380,Zee,40,40,1
381,Zi,40,40,1
382,Zo,40,40,1
383,Zoo,40,40,1
384,Zu,40,40,1
